# regime=balanced
# commands=100000
# seed=42
ADD,B,1,10000,72
ADD,B,2,9999,183
ADD,B,3,9996,17
ADD,B,4,9999,164
ADD,B,5,9996,176
ADD,S,6,9998,232
ADD,B,7,9999,97
ADD,S,8,9998,107
ADD,B,9,9998,164
ADD,S,10,10005,41
ADD,S,11,9998,168
ADD,S,12,10005,1554,388
ADD,S,13,10001,107
ADD,S,14,10002,100
ADD,B,15,9995,175
ADD,B,16,9999,72
ADD,B,17,9998,173
ADD,B,18,10000,18
ADD,S,19,10000,155
ADD,S,20,9998,244
ADD,S,21,9998,153
ADD,S,22,10003,112
ADD,S,23,9998,33
ADD,B,24,9999,212
ADD,S,25,10003,129
ADD,S,26,10000,39
ADD,S,27,10002,121
ADD,B,28,9995,77
ADD,B,29,10000,86
ADD,B,30,10000,209
ADD,B,31,9997,943,188
ADD,B,32,10003,31
ADD,S,33,10004,42
ADD,S,34,10001,233
ADD,S,35,10004,186
ADD,B,36,9997,176
ADD,S,37,10004,73
ADD,B,38,10001,68
ADD,B,39,10003,68
ADD,B,40,9998,687,137
ADD,S,41,10000,235
ADD,S,42,9998,58
ADD,B,43,10001,115
ADD,S,44,10000,175
CANCEL,33
ADD,S,45,10000,58
ADD,B,46,9998,233
ADD,S,47,10004,1535,219
ADD,B,48,9999,134
ADD,S,49,10001,109
ADD,S,50,10005,210
ADD,S,51,9998,24
ADD,B,52,10000,1176,168
ADD,B,53,10003,580,193
ADD,B,54,9999,237
ADD,B,55,9997,154
ADD,S,56,9998,77
ADD,S,57,10000,1472,210
ADD,B,58,9996,248
ADD,B,59,9998,122
ADD,S,60,10005,180
ADD,S,61,10000,44
ADD,B,62,9999,164
ADD,S,63,9997,139
ADD,B,64,10001,21
CANCEL,62
CANCEL,31
CANCEL,48
ADD,S,65,10000,1615,403
ADD,S,66,10001,20
ADD,B,67,9999,180
CANCEL,67
ADD,S,68,10005,248
ADD,B,69,9999,16
CANCEL,37
ADD,S,70,10005,78
CANCEL,66
CANCEL,5
ADD,B,71,10001,220
ADD,B,72,10002,94
ADD,B,73,9998,140
ADD,S,74,10000,76
CANCEL,36
CANCEL,68
ADD,S,75,10004,240
ADD,S,76,9998,1851,264
ADD,B,77,10000,245
ADD,S,78,10005,194
ADD,S,79,10002,85
ADD,B,80,9997,241
CANCEL,76
ADD,B,81,9999,158
ADD,S,82,10003,140
ADD,B,83,9998,172
ADD,B,84,9999,67
